	adult	director	genre_ids	lead actors	movie_id	overview	popularity	poster_path	release_date	title	video	vote_average	vote_count
147	False	Quentin Tarantino	[53, 80]	[John Travolta, Samuel L. Jackson, Uma Thurman]	680	A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.	7.264471	/dM2w364MScsjFf8pfMbaWUcWrR.jpg	1994-10-13	Pulp Fiction	False	8.2	6499
148	False	Chris Columbus	[28, 35, 878]	[Adam Sandler, Michelle Monaghan, Peter Dinklage]	257344	Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.	7.254429	/ktyVmIqfoaJ8w0gDSZyjhhOPpD6.jpg	2015-07-16	Pixels	False	5.7	1905
149	False	Andrew Stanton	[16, 10751]	[Albert Brooks, Ellen DeGeneres, Alexander Gould]	12	A tale which follows the comedic and eventful journeys of two fish, the fretful Marlin and his young son Nemo, who are separated from each other in the Great Barrier Reef when Nemo is unexpectedly taken from his home and thrust into a fish tank in a dentist's office overlooking Sydney Harbor. Buoyed by the companionship of a friendly but forgetful fish named Dory, the overly cautious Marlin embarks on a dangerous trek and finds himself the unlikely hero of an epic journey to rescue his son.	7.217443	/zjqInUwldOBa0q07fOyohYCWxWX.jpg	2003-05-30	Finding Nemo	False	7.5	4450
150	False	Robert Zemeckis	[12, 35, 878, 10751]	[Michael J. Fox, Christopher Lloyd, Lea Thompson]	105	Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.	7.196082	/pTpxQB1N0waaSc3OSn0e9oc8kx9.jpg	1985-07-03	Back to the Future	False	7.9	4653
151	False	David Yates	[12, 14]	[Daniel Radcliffe, Rupert Grint, Emma Watson]	12445	Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.	7.048311	/fTplI1NCSuEDP4ITLcTps739fcC.jpg	2011-07-07	Harry Potter and the Deathly Hallows: Part 2	False	7.8	4570
152	False	Antoine Fuqua	[28, 18]	[Jake Gyllenhaal, Rachel McAdams, Forest Whitaker]	307081	"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most."	7.039088	/50d0XQQETSyg3bwBXhC7K33pKgc.jpg	2015-06-15	Southpaw	False	7.3	1631
153	False	F. Gary Gray	[18, 10402]	[O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell]	277216	In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.	6.991169	/X7S1RtotXOZNV7OlgCfh5VKZSB.jpg	2015-08-13	Straight Outta Compton	False	7.6	1116
154	False	Antoine Fuqua	[53, 28, 80]	[Denzel Washington, Marton Csokas, Chloë Grace Moretz]	156022	In The Equalizer, Denzel Washington plays McCall, a man who believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when McCall meets Teri (Chloë Grace Moretz), a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.	6.940201	/2eQfjqlvPAxd9aLDs8DvsKLnfed.jpg	2014-09-24	The Equalizer	False	7.1	2492
155	False	Peter Jackson	[12, 14, 28]	[Elijah Wood, Ian McKellen, Viggo Mortensen]	122	Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.	6.940111	/50LoR9gJhbWZ5PpoHgi8MNTYgzd.jpg	2003-12-01	The Lord of the Rings: The Return of the King	False	8.0	6570
156	False	David Yates	[12, 14, 10751]	[Daniel Radcliffe, Emma Watson, Rupert Grint]	12444	Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.	6.929493	/maP4MTfPCeVD2FZbKTLUgriOW4R.jpg	2010-10-17	Harry Potter and the Deathly Hallows: Part 1	False	7.4	4209
