,genre,id
0,Mystery,9648
1,Romance,10749
2,Family,10751
3,Science Fiction,878
4,Horror,27
5,Thriller,53
6,Crime,80
7,Drama,18
8,Fantasy,14
9,Western,37
10,Animation,16
11,Music,10402
12,Adventure,12
13,Action,28
14,Comedy,35
15,Documentary,99
16,War,10752
17,TV Movie,10770
18,History,36
