,id,genre
0,9648,Mystery
1,10749,Romance
2,10751,Family
3,878,Science Fiction
4,27,Horror
5,53,Thriller
6,80,Crime
7,18,Drama
8,14,Fantasy
9,37,Western
10,16,Animation
11,10402,Music
12,12,Adventure
13,28,Action
14,35,Comedy
15,99,Documentary
16,10752,War
17,10770,TV Movie
18,36,History
